Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,141.318104,-78.125627,-67.5,top
C10,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,188.5,-76.5,180.0,top
C11,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,178.037501,-125.5,0.0,top
C12,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,169.175001,-125.825001,135.0,top
C13,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,173.500001,-129.0,-135.0,top
C14,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,177.5,-69.0,180.0,top
C15,100uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,177.999999,-80.514999,0.0,top
C2,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,149.577792,-86.156638,45.0,top
C3,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.916091,-88.649189,135.0,top
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.117328,-80.382668,45.0,top
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,143.487869,-83.89514,-22.5,top
C6,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.708319,-81.973659,45.0,top
C7,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.783972,-78.351862,-22.5,top
C8,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,158.358757,-76.502421,-45.0,top
C9,100uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,185.9625,-88.0,0.0,top
J1,B3B-XH-A,CONN_B3B-XH-A_JST,144.374626,-97.374626,45.0,top
J2,B3B-XH-A,CONN_B3B-XH-A_JST,143.9666,-71.329801,0.0,top
J3,B6B-XH-A,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,134.999999,-94.75,-90.0,top
J4,B2B-XH-A,CONN_B2B-XH-A_JST,187.75,-71.5,0.0,top
J5,B3B-XH-A,CONN_B3B-XH-A_JST,135.0,-79.5,90.0,top
P1,282837-2,CUI_TB002-500-02BE,194.4625,-121.0,-90.0,top
P2,282837-2,CUI_TB002-500-02BE,194.5,-110.0,-90.0,top
P3,282837-2,CUI_TB002-500-02BE,194.5,-99.0,-90.0,top
Q1,DMN3023L-7,SOT96P240X100-3N,188.5,-126.55,90.0,top
Q2,DMN3023L-7,SOT96P240X100-3N,187.8,-116.8,90.0,top
Q3,DMN3023L-7,SOT96P240X100-3N,187.54,-107.349999,90.0,top
R1,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,185.5,-126.5,90.0,top
R2,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,186.5,-129.5,0.0,top
R3,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,184.76,-116.850001,90.0,top
R4,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,185.76,-119.850001,0.0,top
R5,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,184.54,-107.299999,90.0,top
R6,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,185.54,-110.299999,0.0,top
U1,BMP581,QFN10_BMP581_BOS,151.046594,-88.046594,45.0,top
U10,XT30UPB-M,XT30UPB-M,167.0,-71.0,0.0,top
U2,DEVKIT_V1_ESP32-WROOM-32,MODULE_DEVKIT_V1_ESP32-WROOM-32,159.888154,-106.80977,135.0,top
U3,TPS79333-EP,SOT-23-5,144.5244,-81.131429,-22.5,top
U4,ICM-20948,QFN24_3X3X0P9_IVS,173.0,-124.5,0.0,top
U5,TPS79318-EP,SOT-23-5,156.476086,-78.438125,-45.0,top
U7,LD1117S50CTR,LD1117S50CTR,189.500001,-82.499999,-90.0,top
U8,XT30UPB-M,XT30UPB-M,156.0,-71.0,0.0,top
U9,LD1117S50CTR,LD1117S50CTR,179.000001,-74.499999,-90.0,top
